reviewText,sentiment,compound
for this price the sound quality of the product is more than what I've expected. I hope it would last long.,Positive,1
it was the best earbuds indeed will purchase  and again best wuality in affordable range💗,Positive,1
ekdam ramro xa malai ta ekdam Mann paryo ani packing pani ramro cute wala box ma ♥️♥️♥️♥️,Positive,1
Reviewing after using it for 14 days.Quality is good.I personally recommend you to buy.,Positive,1
"Very nice product same as it was in photo 
Packaging. very good product, sound good 👍",Positive,1
"Unbelievable 🔥 , The sound quality you get in this price . Amazing ❤️",Neutral,0
"ekchoti bhuma xario ta earbuds ko tar xutio
Tara sounds poisa vasol",Neutral,0
product herna ramro xa but earpod ko charge dherai tikdaina,Neutral,0
price anusar ramro xa quality pani ramro sound Pani ramro,Neutral,0
socheko jastai Paya 🙂 yo rate ma yettiko Saman too good,Positive,1
babal ramro n sasto raixa 1500 vanda ni ramro raixa,Neutral,0
"It is absolutely worth buying, thankyou seller 🤍",Positive,1
all good . Tara battery chai 1 hours ni tikdena,Positive,1
ekdam ramro chha dhukka bhauera kinda hunchha,Neutral,0
Price heri chai best xa hai guys ⭐️⭐️⭐️⭐️⭐️,Positive,1
"euta Matra sunxa arko sundeina 
scam ho yo",Negative,-1
Nice product and very good sound quality,Positive,1
ramro xa Tara xitai charge sakini haixa,Neutral,0
"very good,
sound and bass is supap👌👌",Positive,1
Great sounds quality in cheapest price,Positive,1
Product ramro xa worth for the price,Positive,1
value for money/ extremely  satisfied,Neutral,0
According to price product looks ok,Positive,1
Too bad . Didn’t even last a week.,Negative,-1
one side is working other not work,Neutral,0
nice products in suitable price,Positive,1
so satisfied with this products,Neutral,0
good product on a low rate ♥️😍,Positive,1
bxhdhrjehfhegwhwhhshehehehdheh,Neutral,0
ekdam ramro xa 👀price anusar,Neutral,0
यो रिर्टन किन भयो भन्न मिल्छ,Neutral,0
very good quality for price,Positive,1
good product. would suggest,Positive,1
"good product , satisfying",Positive,1
babal charge babal kitxa,Neutral,0
sacheko bhanda ramro xa,Neutral,0
sasto ma dherai ramro x,Neutral,0
bass is bad ass good 👍,Negative,-1
Best sound and quality,Positive,1
good 👍👍👍👍 super 👌,Positive,1
thikxa price anusar,Neutral,0
Good sound quality,Positive,1
didn't work one,Neutral,0
ver goOd product,Positive,1
product is good .,Positive,1
awesome 😍😍😍,Neutral,0
It is very 👍,Neutral,0
nice product,Positive,1
Babal xha hai,Neutral,0
Nice product,Positive,1
bbl xw hai,Neutral,0
Good.,Positive,1
Nice 🙂👍,Positive,1
Nice,Positive,1
good,Positive,1
nice 🙂,Positive,1
ठिकै छ।,Positive,1
good,Positive,1
working,Neutral,0
nice,Positive,1
mast,Neutral,0
no,Neutral,0
good,Positive,1
Right Sensor is not working at all 😭😭,Neutral,0
saller is cheater they didn't send charger cable. I suggest everyone don't buy any product from them.,Neutral,0
Sent damaged one and when I asked them to exchange they are not replying now. Worst customer service as well as product.,Negative,-1
"namajjaale jhukkayo , yasto saaman pani sales garne ho , 1min mai tattinchh ,discontented bhairahanchh . please return gardinu , saller ko bill pani chhain",Neutral,0
packing ramro vayena aauta matra sound aauxa ani range ni goji bata kam samma chaidaina 🙁,Neutral,0
Charging problem earbuds charging cage not charging,Negative,-1
I didn't even receive it but it says it got delivered,Neutral,0
"euta matra chalxa arko chaldaina
waste of money",Neutral,0
thikai xa sound Ra bass Pani price Herrera,Neutral,0
"Bakwas , 1 din ni ramro sang chalena ,",Neutral,0
charge problem raixa aru bbl xa,Negative,-1
one of the pods didn't work.,Neutral,0
not good my momey is loss,Positive,1
Yeuta side matra chalxa,Neutral,0
